GID_1,NAME_1,lon,lat
PHL.1_1,Abra,120.80555915122183,17.579575606450447
PHL.2_1,AgusandelNorte,125.52278826192187,9.014729617484841
PHL.3_1,AgusandelSur,125.75731278925667,8.403751109922606
PHL.4_1,Aklan,122.24731216950222,11.609997649761304
PHL.5_1,Albay,123.61532138903117,13.211379015307077
PHL.6_1,Antique,122.06939972062759,11.127373935811113
PHL.7_1,Apayao,121.19697872103032,18.092645553970996
PHL.8_1,Aurora,121.70514531236653,15.927872654598858
PHL.9_1,Basilan,122.0217524818164,6.579536510677842
PHL.10_1,Bataan,120.44925449854702,14.664716240945138
PHL.11_1,Batanes,121.88759474079271,20.549481903058165
PHL.12_1,Batangas,121.03005557681307,13.899976609304582
PHL.13_1,Benguet,120.70421976974264,16.539340116880144
PHL.14_1,Biliran,124.47297552171753,11.596861503503082
PHL.15_1,Bohol,124.19751929132066,9.853806419194711
PHL.16_1,Bukidnon,124.99847357547972,8.020381643943368
PHL.17_1,Bulacan,121.0652705185627,14.970963789085282
PHL.18_1,Cagayan,121.76288748747349,18.100828247375095
PHL.19_1,CamarinesNorte,122.72835136427187,14.144001359876057
PHL.20_1,CamarinesSur,123.2629770400464,13.705325065461274
PHL.21_1,Camiguin,124.7177835346265,9.171847996702851
PHL.22_1,Capiz,122.63596055868709,11.36828294198819
PHL.23_1,Catanduanes,124.23687466238762,13.783637056329177
PHL.24_1,Cavite,120.87219784227491,14.253463779680162
PHL.25_1,Cebu,123.75590926059431,10.357479398008273
PHL.26_1,CompostelaValley,126.01763332482646,7.577421162699736
PHL.27_1,DavaodelNorte,125.63732011018728,7.582347688649079
PHL.28_1,DavaodelSur,125.41871680221576,6.698014967766168
PHL.29_1,DavaoOriental,126.29732461074514,7.257458960261237
PHL.30_1,DinagatIslands,125.60189978012357,10.170055705981206
PHL.31_1,EasternSamar,125.38011578098201,11.6574068098522
PHL.32_1,Guimaras,122.61352403520887,10.568241607885305
PHL.33_1,Ifugao,121.21442721538845,16.85215893037671
PHL.34_1,IlocosNorte,120.73091599484641,18.200154732976934
PHL.35_1,IlocosSur,120.55163199644126,17.22184641859222
PHL.36_1,Iloilo,122.60369304057116,11.005847852132232
PHL.37_1,Isabela,121.960986317884,16.984849785408016
PHL.38_1,Kalinga,121.2911105961535,17.434026069809953
PHL.39_1,LaUnion,120.42771766787509,16.581177435215718
PHL.40_1,Laguna,121.3250814597135,14.283410188447945
PHL.41_1,LanaodelNorte,124.04439804167612,8.021492443671212
PHL.42_1,LanaodelSur,124.33404950594463,7.809191599616389
PHL.43_1,Leyte,124.75365822935335,10.977724857474671
PHL.44_1,Maguindanao,124.37622994635201,7.024288278494209
PHL.45_1,Marinduque,121.97203647536755,13.391623587262945
PHL.46_1,Masbate,123.55179932971765,12.29548531873685
PHL.47_1,MetropolitanManila,121.03257221888263,14.598800506837694
PHL.48_1,MisamisOccidental,123.68863701676851,8.325157421735092
PHL.49_1,MisamisOriental,124.81146200142281,8.646508583612079
PHL.50_1,MountainProvince,121.13248598724702,17.100610929236
PHL.51_1,NegrosOccidental,122.98502598803641,10.302285495230324
PHL.52_1,NegrosOriental,123.03884984456603,9.601786284498727
PHL.53_1,NorthCotabato,124.8519512994425,7.2149003411033945
PHL.54_1,NorthernSamar,124.79013565422116,12.413391763719847
PHL.55_1,NuevaEcija,121.02254021720529,15.617945703479267
PHL.56_1,NuevaVizcaya,121.1511149665251,16.312188403349875
PHL.57_1,OccidentalMindoro,120.88839528621553,12.97798232232451
PHL.58_1,OrientalMindoro,121.26313705720749,12.963112403929742
PHL.59_1,Palawan,118.75471315739324,9.993329697703013
PHL.60_1,Pampanga,120.66509624360776,15.057237395448473
PHL.61_1,Pangasinan,120.31164294281628,16.000427635830395
PHL.62_1,Quezon,121.96837769615018,14.16371429109847
PHL.63_1,Quirino,121.58864583527416,16.29219262608356
PHL.64_1,Rizal,121.27013638711614,14.628769850713395
PHL.65_1,Romblon,122.23287410998032,12.437492529278073
PHL.66_1,Samar,124.94041866568308,11.843419520160722
PHL.67_1,Sarangani,125.1467831507968,6.021564154718271
PHL.68_1,Siquijor,123.58827904128461,9.18513206330518
PHL.69_1,Sorsogon,123.92893500633883,12.854078489728785
PHL.70_1,SouthCotabato,124.8459560584013,6.282555228017949
PHL.71_1,SouthernLeyte,125.05219064902924,10.29255266461578
PHL.72_1,SultanKudarat,124.47434861909039,6.546161262500221
PHL.73_1,Sulu,121.05154650920856,5.956155866705204
PHL.74_1,SurigaodelNorte,125.73252324501286,9.66284216384771
PHL.75_1,SurigaodelSur,126.10419547774099,8.822271481362018
PHL.76_1,Tarlac,120.47876429094512,15.478939015075925
PHL.77_1,Tawi-Tawi,119.85969190906769,5.262372842879962
PHL.78_1,Zambales,120.14361211493926,15.289165541819408
PHL.79_1,ZamboangadelNorte,122.81329610103403,8.052530223508523
PHL.80_1,ZamboangadelSur,122.99351924197401,7.674154248277874
PHL.81_1,ZamboangaSibugay,122.71342718311789,7.677877543824659
